DriverNumber,BroadcastName,Abbreviation,TeamName,GridPosition,Position,Points,Status,Q1,Q2,Q3,Season,Round,EventName
12,K ANTONELLI,ANT,Mercedes,4.0,5.0,10.0,Finished,,,,2025,18,Singapore Grand Prix
16,C LECLERC,LEC,Ferrari,7.0,6.0,8.0,Finished,,,,2025,18,Singapore Grand Prix
14,F ALONSO,ALO,Aston Martin,10.0,7.0,6.0,Finished,,,,2025,18,Singapore Grand Prix
44,L HAMILTON,HAM,Ferrari,6.0,8.0,4.0,Finished,,,,2025,18,Singapore Grand Prix
87,O BEARMAN,BEA,Haas F1 Team,9.0,9.0,2.0,Finished,,,,2025,18,Singapore Grand Prix
55,C SAINZ,SAI,Williams,18.0,10.0,1.0,Lapped,,,,2025,18,Singapore Grand Prix
6,I HADJAR,HAD,Racing Bulls,8.0,11.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
22,Y TSUNODA,TSU,Red Bull Racing,13.0,12.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
18,L STROLL,STR,Aston Martin,15.0,13.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
23,A ALBON,ALB,Williams,20.0,14.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
30,L LAWSON,LAW,Racing Bulls,12.0,15.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
43,F COLAPINTO,COL,Alpine,16.0,16.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
5,G BORTOLETO,BOR,Kick Sauber,14.0,17.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
31,E OCON,OCO,Haas F1 Team,17.0,18.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
10,P GASLY,GAS,Alpine,19.0,19.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
27,N HULKENBERG,HUL,Kick Sauber,11.0,20.0,0.0,Lapped,,,,2025,18,Singapore Grand Prix
1,M VERSTAPPEN,VER,Red Bull Racing,1.0,1.0,25.0,Finished,,,,2025,19,United States Grand Prix
4,L NORRIS,NOR,McLaren,2.0,2.0,18.0,Finished,,,,2025,19,United States Grand Prix
16,C LECLERC,LEC,Ferrari,3.0,3.0,15.0,Finished,,,,2025,19,United States Grand Prix
44,L HAMILTON,HAM,Ferrari,5.0,4.0,12.0,Finished,,,,2025,19,United States Grand Prix
81,O PIASTRI,PIA,McLaren,6.0,5.0,10.0,Finished,,,,2025,19,United States Grand Prix
63,G RUSSELL,RUS,Mercedes,4.0,6.0,8.0,Finished,,,,2025,19,United States Grand Prix
22,Y TSUNODA,TSU,Red Bull Racing,13.0,7.0,6.0,Finished,,,,2025,19,United States Grand Prix
27,N HULKENBERG,HUL,Kick Sauber,11.0,8.0,4.0,Finished,,,,2025,19,United States Grand Prix
87,O BEARMAN,BEA,Haas F1 Team,8.0,9.0,2.0,Finished,,,,2025,19,United States Grand Prix
14,F ALONSO,ALO,Aston Martin,10.0,10.0,1.0,Finished,,,,2025,19,United States Grand Prix
30,L LAWSON,LAW,Racing Bulls,12.0,11.0,0.0,Finished,,,,2025,19,United States Grand Prix
18,L STROLL,STR,Aston Martin,19.0,12.0,0.0,Finished,,,,2025,19,United States Grand Prix
12,K ANTONELLI,ANT,Mercedes,7.0,13.0,0.0,Finished,,,,2025,19,United States Grand Prix
23,A ALBON,ALB,Williams,18.0,14.0,0.0,Finished,,,,2025,19,United States Grand Prix
31,E OCON,OCO,Haas F1 Team,17.0,15.0,0.0,Finished,,,,2025,19,United States Grand Prix
6,I HADJAR,HAD,Racing Bulls,20.0,16.0,0.0,Finished,,,,2025,19,United States Grand Prix
43,F COLAPINTO,COL,Alpine,15.0,17.0,0.0,Lapped,,,,2025,19,United States Grand Prix
5,G BORTOLETO,BOR,Kick Sauber,16.0,18.0,0.0,Lapped,,,,2025,19,United States Grand Prix
10,P GASLY,GAS,Alpine,14.0,19.0,0.0,Lapped,,,,2025,19,United States Grand Prix
55,C SAINZ,SAI,Williams,9.0,20.0,0.0,Retired,,,,2025,19,United States Grand Prix
4,L NORRIS,NOR,McLaren,1.0,1.0,25.0,Finished,,,,2025,20,Mexico City Grand Prix
16,C LECLERC,LEC,Ferrari,2.0,2.0,18.0,Finished,,,,2025,20,Mexico City Grand Prix
1,M VERSTAPPEN,VER,Red Bull Racing,5.0,3.0,15.0,Finished,,,,2025,20,Mexico City Grand Prix
87,O BEARMAN,BEA,Haas F1 Team,9.0,4.0,12.0,Finished,,,,2025,20,Mexico City Grand Prix
81,O PIASTRI,PIA,McLaren,7.0,5.0,10.0,Finished,,,,2025,20,Mexico City Grand Prix
12,K ANTONELLI,ANT,Mercedes,6.0,6.0,8.0,Finished,,,,2025,20,Mexico City Grand Prix
63,G RUSSELL,RUS,Mercedes,4.0,7.0,6.0,Finished,,,,2025,20,Mexico City Grand Prix
44,L HAMILTON,HAM,Ferrari,3.0,8.0,4.0,Finished,,,,2025,20,Mexico City Grand Prix
31,E OCON,OCO,Haas F1 Team,11.0,9.0,2.0,Finished,,,,2025,20,Mexico City Grand Prix
5,G BORTOLETO,BOR,Kick Sauber,16.0,10.0,1.0,Finished,,,,2025,20,Mexico City Grand Prix
22,Y TSUNODA,TSU,Red Bull Racing,10.0,11.0,0.0,Finished,,,,2025,20,Mexico City Grand Prix
23,A ALBON,ALB,Williams,17.0,12.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix
6,I HADJAR,HAD,Racing Bulls,8.0,13.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix
18,L STROLL,STR,Aston Martin,19.0,14.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix
10,P GASLY,GAS,Alpine,18.0,15.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix
43,F COLAPINTO,COL,Alpine,20.0,16.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix
55,C SAINZ,SAI,Williams,12.0,17.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix
14,F ALONSO,ALO,Aston Martin,14.0,18.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix
27,N HULKENBERG,HUL,Kick Sauber,13.0,19.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix
30,L LAWSON,LAW,Racing Bulls,15.0,20.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix
4,L NORRIS,NOR,McLaren,1.0,1.0,25.0,Finished,,,,2025,21,São Paulo Grand Prix
12,K ANTONELLI,ANT,Mercedes,2.0,2.0,18.0,Finished,,,,2025,21,São Paulo Grand Prix
1,M VERSTAPPEN,VER,Red Bull Racing,19.0,3.0,15.0,Finished,,,,2025,21,São Paulo Grand Prix
63,G RUSSELL,RUS,Mercedes,6.0,4.0,12.0,Finished,,,,2025,21,São Paulo Grand Prix
81,O PIASTRI,PIA,McLaren,4.0,5.0,10.0,Finished,,,,2025,21,São Paulo Grand Prix
87,O BEARMAN,BEA,Haas F1 Team,8.0,6.0,8.0,Finished,,,,2025,21,São Paulo Grand Prix
30,L LAWSON,LAW,Racing Bulls,7.0,7.0,6.0,Finished,,,,2025,21,São Paulo Grand Prix
6,I HADJAR,HAD,Racing Bulls,5.0,8.0,4.0,Finished,,,,2025,21,São Paulo Grand Prix
27,N HULKENBERG,HUL,Kick Sauber,10.0,9.0,2.0,Finished,,,,2025,21,São Paulo Grand Prix
10,P GASLY,GAS,Alpine,9.0,10.0,1.0,Finished,,,,2025,21,São Paulo Grand Prix
23,A ALBON,ALB,Williams,12.0,11.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix
31,E OCON,OCO,Haas F1 Team,20.0,12.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix
55,C SAINZ,SAI,Williams,15.0,13.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix
14,F ALONSO,ALO,Aston Martin,11.0,14.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix
43,F COLAPINTO,COL,Alpine,16.0,15.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix
18,L STROLL,STR,Aston Martin,14.0,16.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix
22,Y TSUNODA,TSU,Red Bull Racing,17.0,17.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix
44,L HAMILTON,HAM,Ferrari,13.0,18.0,0.0,Retired,,,,2025,21,São Paulo Grand Prix
16,C LECLERC,LEC,Ferrari,3.0,19.0,0.0,Retired,,,,2025,21,São Paulo Grand Prix
5,G BORTOLETO,BOR,Kick Sauber,18.0,20.0,0.0,Retired,,,,2025,21,São Paulo Grand Prix
1,M VERSTAPPEN,VER,Red Bull Racing,2.0,1.0,25.0,Finished,,,,2025,22,Las Vegas Grand Prix
63,G RUSSELL,RUS,Mercedes,4.0,2.0,18.0,Finished,,,,2025,22,Las Vegas Grand Prix
12,K ANTONELLI,ANT,Mercedes,17.0,3.0,15.0,Finished,,,,2025,22,Las Vegas Grand Prix
16,C LECLERC,LEC,Ferrari,9.0,4.0,12.0,Finished,,,,2025,22,Las Vegas Grand Prix
55,C SAINZ,SAI,Williams,3.0,5.0,10.0,Finished,,,,2025,22,Las Vegas Grand Prix
6,I HADJAR,HAD,Racing Bulls,8.0,6.0,8.0,Finished,,,,2025,22,Las Vegas Grand Prix
27,N HULKENBERG,HUL,Kick Sauber,11.0,7.0,6.0,Finished,,,,2025,22,Las Vegas Grand Prix
44,L HAMILTON,HAM,Ferrari,19.0,8.0,4.0,Finished,,,,2025,22,Las Vegas Grand Prix
31,E OCON,OCO,Haas F1 Team,13.0,9.0,2.0,Finished,,,,2025,22,Las Vegas Grand Prix
87,O BEARMAN,BEA,Haas F1 Team,14.0,10.0,1.0,Finished,,,,2025,22,Las Vegas Grand Prix
14,F ALONSO,ALO,Aston Martin,7.0,11.0,0.0,Finished,,,,2025,22,Las Vegas Grand Prix
22,Y TSUNODA,TSU,Red Bull Racing,20.0,12.0,0.0,Finished,,,,2025,22,Las Vegas Grand Prix
10,P GASLY,GAS,Alpine,10.0,13.0,0.0,Finished,,,,2025,22,Las Vegas Grand Prix
30,L LAWSON,LAW,Racing Bulls,6.0,14.0,0.0,Lapped,,,,2025,22,Las Vegas Grand Prix
43,F COLAPINTO,COL,Alpine,15.0,15.0,0.0,Lapped,,,,2025,22,Las Vegas Grand Prix
23,A ALBON,ALB,Williams,16.0,16.0,0.0,Retired,,,,2025,22,Las Vegas Grand Prix
5,G BORTOLETO,BOR,Kick Sauber,18.0,17.0,0.0,Retired,,,,2025,22,Las Vegas Grand Prix
18,L STROLL,STR,Aston Martin,12.0,18.0,0.0,Retired,,,,2025,22,Las Vegas Grand Prix
4,L NORRIS,NOR,McLaren,1.0,19.0,0.0,Disqualified,,,,2025,22,Las Vegas Grand Prix
81,O PIASTRI,PIA,McLaren,5.0,20.0,0.0,Disqualified,,,,2025,22,Las Vegas Grand Prix
1,M VERSTAPPEN,VER,Red Bull Racing,3.0,1.0,25.0,Finished,,,,2025,23,Qatar Grand Prix
81,O PIASTRI,PIA,McLaren,1.0,2.0,18.0,Finished,,,,2025,23,Qatar Grand Prix
55,C SAINZ,SAI,Williams,7.0,3.0,15.0,Finished,,,,2025,23,Qatar Grand Prix
4,L NORRIS,NOR,McLaren,2.0,4.0,12.0,Finished,,,,2025,23,Qatar Grand Prix
12,K ANTONELLI,ANT,Mercedes,5.0,5.0,10.0,Finished,,,,2025,23,Qatar Grand Prix
63,G RUSSELL,RUS,Mercedes,4.0,6.0,8.0,Finished,,,,2025,23,Qatar Grand Prix
14,F ALONSO,ALO,Aston Martin,8.0,7.0,6.0,Finished,,,,2025,23,Qatar Grand Prix
16,C LECLERC,LEC,Ferrari,10.0,8.0,4.0,Finished,,,,2025,23,Qatar Grand Prix
30,L LAWSON,LAW,Racing Bulls,12.0,9.0,2.0,Finished,,,,2025,23,Qatar Grand Prix
22,Y TSUNODA,TSU,Red Bull Racing,15.0,10.0,1.0,Finished,,,,2025,23,Qatar Grand Prix
23,A ALBON,ALB,Williams,14.0,11.0,0.0,Finished,,,,2025,23,Qatar Grand Prix
44,L HAMILTON,HAM,Ferrari,17.0,12.0,0.0,Finished,,,,2025,23,Qatar Grand Prix
5,G BORTOLETO,BOR,Kick Sauber,19.0,13.0,0.0,Finished,,,,2025,23,Qatar Grand Prix
43,F COLAPINTO,COL,Alpine,20.0,14.0,0.0,Lapped,,,,2025,23,Qatar Grand Prix
31,E OCON,OCO,Haas F1 Team,16.0,15.0,0.0,Lapped,,,,2025,23,Qatar Grand Prix
10,P GASLY,GAS,Alpine,9.0,16.0,0.0,Lapped,,,,2025,23,Qatar Grand Prix
18,L STROLL,STR,Aston Martin,18.0,17.0,0.0,Retired,,,,2025,23,Qatar Grand Prix
6,I HADJAR,HAD,Racing Bulls,6.0,18.0,0.0,Retired,,,,2025,23,Qatar Grand Prix
87,O BEARMAN,BEA,Haas F1 Team,13.0,19.0,0.0,Retired,,,,2025,23,Qatar Grand Prix
27,N HULKENBERG,HUL,Kick Sauber,11.0,20.0,0.0,Retired,,,,2025,23,Qatar Grand Prix
1,M VERSTAPPEN,VER,Red Bull Racing,1.0,1.0,25.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
81,O PIASTRI,PIA,McLaren,3.0,2.0,18.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
4,L NORRIS,NOR,McLaren,2.0,3.0,15.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
16,C LECLERC,LEC,Ferrari,5.0,4.0,12.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
63,G RUSSELL,RUS,Mercedes,4.0,5.0,10.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
14,F ALONSO,ALO,Aston Martin,6.0,6.0,8.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
31,E OCON,OCO,Haas F1 Team,8.0,7.0,6.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
44,L HAMILTON,HAM,Ferrari,16.0,8.0,4.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
27,N HULKENBERG,HUL,Kick Sauber,18.0,9.0,2.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
18,L STROLL,STR,Aston Martin,15.0,10.0,1.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
5,G BORTOLETO,BOR,Kick Sauber,7.0,11.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
87,O BEARMAN,BEA,Haas F1 Team,11.0,12.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
55,C SAINZ,SAI,Williams,12.0,13.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
22,Y TSUNODA,TSU,Red Bull Racing,10.0,14.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
12,K ANTONELLI,ANT,Mercedes,14.0,15.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
23,A ALBON,ALB,Williams,17.0,16.0,0.0,Finished,,,,2025,24,Abu Dhabi Grand Prix
6,I HADJAR,HAD,Racing Bulls,9.0,17.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix
30,L LAWSON,LAW,Racing Bulls,13.0,18.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix
10,P GASLY,GAS,Alpine,19.0,19.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix
43,F COLAPINTO,COL,Alpine,20.0,20.0,0.0,Lapped,,,,2025,24,Abu Dhabi Grand Prix
